,Screen_name,UserID,TweetID,Coords,Lat,Lon,Created_At,Text,Labels
267,tengtengjane,820990255,780033826013585413,"[43.72305556, 10.39641667]",43.72305556,10.39641667,Sun Sep 25 13:18:51 +0000 2016,"斜塔斜不斜，斜 😁 
#day7 #eurotrip #leaningtowerofpisa #instadaily @ Leaning Tower of Pisa https://t.co/z1DZdjnhIE",3
268,cuxia86,484688316,782933096144470016,"[43.71934, 10.4003]",43.71934,10.4003,Mon Oct 03 13:19:30 +0000 2016,#pisatower #architects #unipi #piazzadeimiracoli #arno #pisa #igerspisa #ig_pisa #tuscany… https://t.co/vnhEOqb3Mz,4
269,cuxia86,484688316,782370680344047617,"[43.723272, 10.395619]",43.723271999999994,10.395619,Sun Oct 02 00:04:40 +0000 2016,#pisatower #piazzadeimiracoli #arno #pisa #igerspisa #ig_pisa #tuscany #italygram #Italia… https://t.co/6SK9zXrI7J,3
270,cuxia86,484688316,781946579926278146,"[43.72288592, 10.39285376]",43.72288592,10.39285376,Fri Sep 30 19:59:27 +0000 2016,#pisatower #piazzadeimiracoli #arno #pisa #igerspisa #ig_pisa #tuscany #italygram #Italia… https://t.co/Xx6jIz0IEf,3
271,cuxia86,484688316,782133010988691456,"[43.7230407, 10.3966713]",43.7230407,10.3966713,Sat Oct 01 08:20:15 +0000 2016,#pisatower #piazzadeimiracoli #arno #pisa #igerspisa #ig_pisa #tuscany #italygram #Italia… https://t.co/RtIIEsMg9o,3
272,cuxia86,484688316,782179086336753665,"[43.72263, 10.3948]",43.72263,10.3948,Sat Oct 01 11:23:21 +0000 2016,#pisatower #piazzadeimiracoli #arno #pisa #igerspisa #ig_pisa #tuscany #italygram #Italia… https://t.co/tQBebUHhjb,3
273,CarisaMeelker,700647030,782604094607233025,"[43.72305556, 10.39641667]",43.72305556,10.39641667,Sun Oct 02 15:32:10 +0000 2016,I caught it.. No worries :P @ Leaning Tower of Pisa https://t.co/a5k1uwn3dV,3
274,riya_chandradey,112431979,782480907454279680,"[43.72305556, 10.39641667]",43.72305556,10.39641667,Sun Oct 02 07:22:40 +0000 2016,When our world was leaning kabhi idhar kabhi udhar #HelloPisa… https://t.co/IKtU1rNAVX,3
275,vito_ostuni,789714366,782304485888626688,"[43.7167, 10.3833]",43.7167,10.3833,Sat Oct 01 19:41:38 +0000 2016,"Just posted a photo @ Pisa, Italy https://t.co/KfbkxB5U4f",1
276,makeupando,57610367,782276633797337088,"[43.69897, 10.39904]",43.69897,10.39904,Sat Oct 01 17:50:58 +0000 2016,Super team @ Aeroporto Galileo Galilei di Pisa https://t.co/i0FOHWh9F5,5
277,makeupando,57610367,782277714375913472,"[43.69897, 10.39904]",43.69897,10.39904,Sat Oct 01 17:55:15 +0000 2016,sartoriasanlazzaro @ Aeroporto Galileo Galilei di Pisa https://t.co/27AFcvXHGE,5
278,makeupando,57610367,782278334147203072,"[43.69897, 10.39904]",43.69897,10.39904,Sat Oct 01 17:57:43 +0000 2016,Team living it @ Aeroporto Galileo Galilei di Pisa https://t.co/EI4icvLegH,5
279,alberlizzz,82342453,780408591148810240,"[43.72040817, 10.39710583]",43.72040817,10.39710583,Mon Sep 26 14:08:02 +0000 2016,"I'm at Pisa in Pisa, PI https://t.co/wfLZHNv2ep",3
280,thekarinichols,2459106633,779743647034114048,"[43.7167, 10.3833]",43.7167,10.3833,Sat Sep 24 18:05:47 +0000 2016,"Me.
In case you were wondering.
📷 calebthetraveler… https://t.co/DqdmrBCvky",1
281,Maria4N,93903006,780154621763477504,"[43.72305556, 10.39641667]",43.72305556,10.39641667,Sun Sep 25 21:18:51 +0000 2016,Turisteo 🍕🍕🇮🇹🇮🇹!! #pisa #foodtruck #Yonobebomas #akuaketa @ Leaning… https://t.co/qwm4ikTaDz,3
282,Maria4N,93903006,779559139953537024,"[43.7167, 10.3833]",43.7167,10.3833,Sat Sep 24 05:52:37 +0000 2016,"Dicen que quien tiene una hermana tiene un tesoro. Digamos, que es… https://t.co/5LhFI3cXJJ",1
283,Maria4N,93903006,779787114053599232,"[43.71934, 10.4003]",43.71934,10.4003,Sat Sep 24 20:58:30 +0000 2016,Españoles por Italia!! 🍻🍻 #akuaketa #Yonobebomas #jagger #pisa @… https://t.co/KAIqmSRgA1,4
284,_martyn_fisher,391892447,782590625321394177,"[43.7167, 10.3833]",43.7167,10.3833,Sun Oct 02 14:38:39 +0000 2016,"#Leaning #Tower of #Pisa #Italy @ Pisa, Italy https://t.co/fOpShajVdy",1
285,_martyn_fisher,391892447,782591082143948801,"[43.72263, 10.39478]",43.72263,10.39478,Sun Oct 02 14:40:28 +0000 2016,"#Leaning #Tower of #Pisa #Italy
Being a tourist. @ Torre di Pisa - Leaning Tower https://t.co/32GxnSjvO0",3
286,_martyn_fisher,391892447,782591322234368000,"[43.72263, 10.39478]",43.72263,10.39478,Sun Oct 02 14:41:25 +0000 2016,#Leaning #Tower of #Pisa #Italy @ Torre di Pisa - Leaning Tower https://t.co/RXqDbvSY2c,3
287,_martyn_fisher,391892447,782591569077481473,"[43.72263, 10.39478]",43.72263,10.39478,Sun Oct 02 14:42:24 +0000 2016,#Leaning #Tower of #Pisa #Italy @ Torre di Pisa - Leaning Tower https://t.co/x0k2KcXzUr,3
